2024-06-26 22:06:975 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:647 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (50de75da66dbddb5c3df887923d26640)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:988 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:339 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (44e886d54261ecfbc7eab65eca1886d5)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:46 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:699 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:66 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (bbe91d8756391f4eb74b669a0e391029)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:75 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (bbe91d8756391f4eb74b669a0e391029)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 22:06:671 INFO  BuyPage :39 - select make[[ChromeDriver: chrome on windows (bbe91d8756391f4eb74b669a0e391029)] -> xpath: //select[@id='make']]
2024-06-26 22:06:213 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:252 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:716 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (090934564b1c5e356f382c278c023441)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:536 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:287 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:898 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (d651cd21a87377fbb6dc4b5dc0c2285a)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:522 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:813 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (952f58b9e2d386583a1385d2ba8db1cd)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:40 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:732 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:252 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (3cb73d8033eaed0e1b5f5fb07cc338c0)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:600 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:849 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (6b722518050a3ebb290c322cf5525814)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:599 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:660 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (1ced7dac907697eb78ef5fe2ff818236)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:411 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:844 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (2d7b20262836c76d446b192fb991dbe9)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:360 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (2d7b20262836c76d446b192fb991dbe9)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 23:06:638 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (2d7b20262836c76d446b192fb991dbe9)] -> xpath: //select[@id='make']]
2024-06-26 23:06:828 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (2d7b20262836c76d446b192fb991dbe9)] -> xpath: //select[@id='model']]
2024-06-26 23:06:14 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (2d7b20262836c76d446b192fb991dbe9)] -> xpath: //select[@id='state']]
2024-06-26 23:06:886 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:619 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:959 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (b7616cf6a9b7534af6f73104f4984a15)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:65 INFO  ManageBrowser :32 - Chrome Browser Launch.....
